S#,Title,Location,Date,Incident Area,Open/Close Location,Target,Cause,Summary,Fatalities,Injured,Total victims,Policeman Killed,Age,Employeed (Y/N),Employed at,Mental Health Issues,Race,Gender,Latitude,Longitude
23,"Albuquerque, NM Family restaurant shooting",,4/1/2016,restaurant,Close,Family,,The shooter killed two of his nephews at the restaurant they owned. He shot and injured his brother. Then killed himself.,3,1,3,0,,,,Unknown,Asian American,Male,35.085334,-106.605553
24,"Richmond, Virginia","Richmond, Virginia",3/31/2016,bus station,Open,Trooper,frustration,"A man fatally shot a Virginia state trooper at a Greyhound bus station before the gunman was killed by other troopers. The trooper had been participating with about a dozen other troopers in a training exercise at the bus station when a brief encounter with the gunman quickly turned violent. The shooter had been sitting in the restaurant at the bus station and went to his luggage near the front entrance. He began to walk away from his bags. The trooper approached the suspect. Shortly after the two talked for a few seconds, with the suspect to the trooper�s immediate right, the shooter pulled a gun from his waistband and shot the trooper from just inches away.",2,2,3,0,,,,Unknown,Black American or African American,Male,37.540725,-77.436048
25,"Louisburg, North Carolina","Louisburg, North Carolina",3/26/2016,,,,terrorism,"Three people were killed in a shooting at a home. The shooter was on probation after being released from prison about two weeks ago. He was required to wear an ankle bracelet that monitored his whereabouts, but removed the device on Friday � the day before the shootings.",3,0,3,,,,,Unknown,Black American or African American,Male,36.099039,-78.301106
26,"Lawrenceburg, Tennessee","Lawrenceburg, Tennessee",3/25/2016,in home,Close,Family,domestic dispute,The man was suspected of shooting his wife and two sons on Friday morning at the family�s home. All three victims were initially shot inside the residence with a shotgun.,2,2,3,0,,,,Unknown,Unknown,Male,35.242302,-87.334739
27,"Greenhill, AL Family murder-suicide",,3/25/2016,home in rural Alabama,Close,Family,domestic dispute,"Husband murders his wife and injures his two sons at their home in rural Alabama, then commits suicide",2,2,3,0,,,,Yes,White American or European American,Male,34.759257,-86.602493
28,"Sherman, Texas Family Murder-Suicide","Sherman, Texas ",3/21/2016,,,Family,domestic dispute,"A man shot and killed his wife and two boys, then he turned the gun on himself.",4,0,3,0,,,,Unknown,Unknown,Male,33.635662,-96.60888
29,"Louisville, KY Family Murder-Suicide","Louisville, Kentucky",3/20/2016,Home,Close,Family,domestic dispute,A former soldier who fatally shot his wife and two children and set their house on fire before killing himself suffered from post-traumatic stress disorder following a military career that included a stint in Iraq.,4,0,3,0,,1,Military,Yes,White American or European American,Male,38.252665,-85.758456
30,"Plantation, Florida","Plantation, Florida",3/19/2016,Home,Close,party guests,,A Spring Break party in a house packed with 400 people ended in gunfire that killed one man and wounded four others.,1,4,5,0,,,,Unknown,Unknown,Unknown,26.127586,-80.233104
31,Wetumpka Drive-by,"Wetumpka, Alabama",3/19/2016,"drive-by in Wetumpka, Alabama",Open,random,terrorism,"Shooter fired 12 rounds from a semi-automatic handgun that left two dead and two critically injured in a Saturday afternoon drive-by in Wetumpka, Alabama.",2,2,4,0,,,,Unknown,Black American or African American,Male,32.543745,-86.211913
32,Atlanta Nightclub shooting,,3/15/2016,outside nightclub,Open,random,anger,Two groups of people were asked to leave a nightclub when they started arguing. They were outside the club when they started shooting. Five people were injured. ,0,4,4,0,,,,Unknown,Unknown,Unknown,33.748995,-84.387982
33,Florida Family celebration ends in shooting,,3/13/2016,,,Family,,"Family was celebrating a birthday party when a group of 12 arrived. Fight broke out, four people shot.",0,4,4,0,,,,Unknown,Unknown,Unknown,26.640628,-81.872308
34,"Elberton, Georgia murder-suicide",,3/12/2016,,Open,Family,domestic dispute,"Domestic dispute led a man to shoot his girlfriend, kill her daughter, and injure a bystander who was trying to help the girlfriend",2,2,3,0,,,,Unknown,Unknown,Male,34.111223,-82.867084
35,"Trenton, NJ sidewalk shooting",,3/11/2016,"outside of an apartment complex in Trenton, NJ",Open,random,,"A group of women were arguing on a sidewalk outside of an apartment complex in Trenton, NJ when a black Acura pulled up. Two men got out. And one shot at the women, injuring five. ",0,5,5,0,,,,Unknown,Unknown,Unknown,40.217053,-74.742938
36,Detroit Drive-by,,3/11/2016,,Open,random,,Four men were sitting on a porch when a black SUV with three passengers drove by and opened fire in broad daylight. Two of the men died and two were injured. The SUV got away and there are no suspects,2,2,4,0,,,,Unknown,Unknown,Unknown,42.331427,-83.045754
37,"Pittsburgh, Pennsylvania","Pittsburgh, Pennsylvania",3/9/2016,backyard of a house,Open,random,terrorism,"Two gunmen working as a team fatally shot five people including a pregnant woman and critically wounded two others at a backyard cookout, with one attacker using a high-velocity rifle to shoot all the victims in the head as they were driven his direction. Authorities later ruled the death of the woman�s 8-month-old fetus a homicide and raised the number of fatalities to six.",6,3,9,0,,,,Unknown,Unknown,Male,40.440625,-79.995886
38,Wilkinsburg BBQ cookout shootout,,3/9/2016,backyard of a house,Open,random,terrorism,"A family was having a cookout in the backyard of a house when two gunmen came and started shooting. There is one suspected target, but 5 people were killed, including one pregnant woman. The two gunmen fled the scene and have not been identified.",5,3,8,0,,,,Unknown,Unknown,Male,40.441736,-79.881994
39,"Kansas City, Kansas","Kansas City, Kansas",3/7/2016,Home,Close,neighbors,,"Four people were found dead Monday night in a home in Kansas City, Kansas. A fifth man was shot to death Tuesday in Missouri. The shooter lives in a house next door to the home where four people were found shot Monday night. The shooter and the neighbors are all familiar with each other.",5,0,5,0,,,,Unknown,Some other race,Male,39.114053,-94.627464
40,"Lafayette, LA drive by",,3/7/2016,drive-by on MLK boulevard in Lafayette,Open,random,,"Four people shot with non-life-threatening injuries during a drive-by on MLK boulevard in Lafayette, LA. There were multiple shooters in the Ford f-150 truck, truck fled the scene. No leads. ",0,4,4,0,,,,Unknown,Unknown,Unknown,30.22409,-92.019843
41,Kansas City Home Invasion,,3/7/2016,Home,Close,neighbors,,"Shooter killed four people at his next door neighbors house. He fled the scene, but was captured the next day, hiding in a ditch. It is seen as a random act.",4,0,4,0,,,,Unknown,Some other race,Male,39.114053,-94.627464
42,"Chelsea, MA empty apartment party shooting","Chelsea, Massachusetts",3/6/2016,apartment in Chelsea,Close,party guests,terrorism,"Shooter fired upon party of ~50 people at an empty apartment in Chelsea, MA. 1 dead. 6 wounded. Shooters step brother was among those shot",1,6,7,0,,,,Unknown,Some other race,Male,42.391764,-71.032828
43,"Roswell, GA Hookah shootout",,3/6/2016,,Open,random,anger,"Altercation in a hookah bar led a group of seven people to leave in a mini-van. They were followed. When the car stopped, the shooter fired upon the car. Four of the seven sustained non-life-threatening injuries. ",0,4,4,0,,,,Unknown,Black American or African American,Male,34.023243,-84.361556
44,Wichita Nightclub shooting,,3/5/2016,outside the club,Open,random,anger,Altercation led to group of people getting kicked out of a club. Shooting took place around 1am outside the club. Four injured. ,0,4,4,0,,,,Unknown,Unknown,Unknown,37.687176,-97.330053
45,Detroit Strip Club Shootout,,2/28/2016,outside the club,Open,club members,anger,"Man apparently inappropriately touched a stripper. He was asked to leave. He waited outside, then shot the stripper and four other people.",0,5,5,0,,,,Unknown,Black American or African American,Male,42.331427,-83.045754
46,Riverside restaurant shooting,,2/28/2016,restaurant parking,Open,random,,Shooter fired upon group of people in a restaurant parking lot,1,3,4,0,,,,Unknown,Some other race,Male,33.997197,-117.48548
47,"Woodbridge, Virginia","Woodbridge,  Virginia",2/27/2016,outside the house,Open,random,,"On Saturday of February 27th, three officers arrived to investigate a domestic dispute call, the shooter fired a rifle from the front door of his home, striking all three. Inside the house, police found his wife dead in a bedroom.",2,2,4,3,,,,Unknown,Black American or African American,Male,38.6697,-77.3524
48,"Belfair, Washington","Belfair, Washington",2/26/2016,Home,Close,Family,domestic dispute,"At around 9am on Friday morning, a man phoned an officer with the Mason County Sheriff's Office to say that he had shot his family and was going to kill himself next. The man was flushed out of his house when the SWAT team fired tear gas inside. He walked outside and shot himself in front of the officers who were gathered in front of the property. The shooter killed his wife, her two teenage sons and a neighbor.",5,0,4,0,,,,Unknown,White American or European American,Male,47.5033,-122.931
49,Excel Industries mass shooting,"Hesston, Kansas",2/25/2016,workplace,Close,random,,"Cedric L. Ford, who worked as a painter at a manufacturing company, shot victims from his car and at his workplace before being killed by police at the scene. Shortly before the rampage he had been served with a restraining order.",3,14,17,0,,1,manufacturing company,Unclear,Black,M,,
